x,y,id,year
13.114866,13.430699,3ad13b69b51636f9118f47f9eb214c82,
15.194474,12.113715,58c2cf389665142659e71acdf2834f4a,
16.06671,14.6614485,162d89a3ff77c8888aedff64bc6f15ff,
15.101007,14.473795,dc7a9515786c76adc8e5922f352a8d86,
14.277971,14.375211,265e1940220b0a9420ddf70cec72692c,
9.956055,13.101573,ac07302efe392cd8eba90c6fbff54b2a,
12.180879,12.704864,f4fab53f91f4b6b1c7b44d92f27930d6,
13.513918,13.24477,f8ce0174220ec87222520b10b9b7072f,
7.958711,12.619942,f5641953f2a5c620a0b2c6d2f88ae28a,
12.864667,13.450284,0188b31b5a8c8052b56fecb7aaf28312,
12.642062,14.228512,57aa5970c6a06b4e5c38f388910f0b4d,
13.988176,14.549272,00f9a23bf24da245e48da83eb1f1d12a,
8.681923,10.032132,15b0e49e3ebb9fbe0432fdc8b0142d6b,
11.911357,11.649834,7b1beddb12e50d7211cd7cf1fbc2c997,
10.196115,13.497386,24b6478c91b40351a6d55af582ead794,
12.184601,13.799259,04acc06f0da2b3c4cb4273ccf3b1a398,
10.739999,11.158754,653a3db6b3af133fd9690cd795916830,
13.086932,10.476768,9807478263f8a067abad10650838b179,
8.294799,10.965917,0b9c384944bf2a0e53045b7854978dd3,
8.96776,13.515612,8c699fc5b3ae02d3195d62a732868df3,
12.300007,9.22492,7560e428d9b9aead69c8f8d6ea081010,
12.344409,9.7281885,32a0f5c8beb2e95a9b2156d849faa6d7,
12.231571,9.817899,325bce079e558ed01a88358078ad030e,
16.236048,14.374754,a5dca8eaa51be700fb9fdf7a552fbc0a,
9.0755,14.525627,6d2c5ad27f0b3aaf52090bbe39731d66,
8.454359,10.467068,36e11419652c13cab8c156e8b2059464,
10.224391,13.922691,653fe189fb331b31c7f9e78fb193a6b3,
10.392117,12.950835,43f0461e29fed8687494494cd4db3c1c,
8.714557,9.87374,fc08043cc6fb9d158ad7bdb84627145f,
8.2688465,12.543225,4b0cb1554df0091291727814a79ca13a,
9.304797,13.348171,87f7d9fdb3e478ddb382e2273f89e80c,
15.774176,14.090369,bb32ca0b99ebea17f63513a82c66b9bf,
9.16812,14.405909,0e4ff4ccf3bfea5d6882e9b720e4c977,
8.576674,14.287903,afe3aa61a8436109864a4bb3ecd07123,
11.227969,12.446205,f4e552a9c5b81fac563ae9568931d99a,
10.300735,13.379023,4e2c8b9308771a726c616e5fb54dc899,
13.04759,11.396384,13079d91f91ed013aad06fdb30512976,
12.085388,12.784922,bb495725a56c94c850dc49ddfae2c8f7,
12.025198,10.023571,29d527fbfbc6e046c1a663f5c017f7a7,
15.618489,12.53149,91879b2369ce2426417bd563a20de6e8,
9.647311,12.521572,4c81a857ed38eaf7bcd6587d889787d4,
8.982095,9.738506,cb728d272ecc5633b4bdc7523f18b47e,
16.059671,14.095998,bcc25afc85937ae25f8678353d5476ee,
13.066941,12.594246,884809513e9047234f54f74221101949,
12.605868,13.627166,6f28966bf6e0b9ac27486a7ebeb1b7cf,
12.951523,13.795063,80d89cc2ff6fb551ef72e5bc28e13840,
16.446573,14.359802,9214ed0f003fd4919ea791671e54d0fe,
14.747448,13.438786,2136b9a029db63791ee12aa57f1668bc,
12.637707,13.384027,b62a664bd93833c6140e24e675e7cda2,
13.034835,9.477854,f7430e95c6c56cfa052412374ad21af0,
12.7899275,9.966362,d3c39ce34da479808485435a16668e0e,
12.561023,9.482385,0481abb28033fdf15a245fd49bb9719f,
13.486125,13.81942,5bd12602d65711681a556950142344b0,
9.486494,13.4300995,ea7a0751c54dc5b24ba89c5442af8e3c,
9.526224,11.993664,41182f16a24aca5a62b5f94147a36ef1,
9.762357,11.764742,23986f1d60b71055ef5070cbca7755f1,
8.599038,11.554941,b9e51c0d9b1226b547cb2b064472a4bd,
13.0288,11.590238,f152b41f9b6061672ef93c423109c2c6,
16.279325,14.917015,7450c2901c31bba458ab4f096879c6e6,
11.328407,13.487436,59e8670f5a683a4c9912710ccc77ed01,
15.66249,12.250528,0e3111da0a43f0b33fd81e389280f4fb,
14.381242,14.167405,553ee3ef934fff5bc0ecf5aec117dcdc,
8.832583,14.381857,87c78030169c9e8450fbc3544c5a9d87,
15.682124,12.079322,457b981714133969e104805b72a1e04c,
10.707428,13.519156,4e0244df76d05b60363977c8727811dc,
10.686025,13.869488,ed33c6b3a27889bda221a38d2b209f4a,
14.585937,12.225916,a1fb9763eece18e2814da1800c4db709,
13.681453,11.237931,69766202e8de1237cdcec996dc3cf7b4,
10.798497,13.690365,5f71a431fbf48a214374b3f8d5e2bdfc,
9.597252,14.232101,bc8ef2c2c2e4a54323cc0fc8012fbd3f,
8.897153,9.551526,56cb8ed3a11723d414a1fb8678a2049a,
13.379853,12.058761,89ca9f65821ca283c0c678d24521737d,
9.26892,9.967161,d24f6a36fc9a716e42951af5568e5e02,
9.405041,9.701288,bfa46f8452cf3fca4a2d8b2fc64247da,
9.730969,10.224773,0750fb1e7c48f3c4f03a94d3a2720952,
9.760446,10.402285,0190408e9815272483f3f6f186a21d65,
9.404024,9.828218,b4729ba7a496d427f2662d4ae8a9f98d,
9.913383,10.54953,4e6012a5d672d15f830a0ae783cb4a78,
10.067776,10.778037,3e0816a4972490371a5be7e8e8f63119,
10.095618,11.333954,f5107a60990eca91652892a872818666,
